成都质监,#权威发布#【重庆长安汽车股份有限公司召回部分CX20和欧力威汽车】日前，重庆长安汽车股份有限公司根据《缺陷汽车产品召回管理条例》的要求，向国家质检总局备案了召回计划，决定召回以下部分汽车，共计185299辆：（一）自即日起，召回2014年3月20日至2016年3月2日（含）生产的CX20汽车，共计76657辆。（二）自2017年3月1日起，召回2012年11月7日至2015年11月13日（含）生产的长安欧力威汽车，涉及数量108642辆。,1,2,0,2017-01-19 14:23:40,https://weibo.cn/comment/ErxxdiEYb?uid=3681923715&rl=1#cmtfrm,重庆长安汽车股份,,,
广西质监发布,#资讯看看#【重庆长安召回部分CX20和欧力威汽车】日前，前者因方向盘上用于装配驾驶员侧安全气囊的安装孔尺寸超差，后者因长期使用后，转向上轴总成的扭矩传感器异常磨损，存在安全隐患。重庆长安汽车股份有限公司决定召回以下部分汽车，共计185299辆。戳↓ ​,0,0,0,2017-01-12 17:06:28,https://weibo.cn/comment/EquBOBqld?uid=3058245523&rl=1#cmtfrm,重庆长安汽车股份,,,
菏泽环境,山东空气观察#二氧化硫和烟尘长时间超标准10倍排放，请@菏泽环境 注意 2017年01月20日10点，山东玉皇化工有限公司在线监测数据，希望排放浓度高的企业作出公开说明！#蔚蓝地图# @菏泽环境 @绿行齐鲁 @蔚蓝地图 http://t.cn/RMD4zKV ​,2,2,0,2017-01-20 10:53:00,https://weibo.cn/comment/ErFnZmfKa?rl=1#cmtfrm,山东玉皇化工,1,抒一纸时光,转发理由:您好，关于您反映的“山东玉皇化工有限公司二氧化硫和烟尘长时间超标准10倍排放”的环境问题，我们将及时转交给相关科室进行核实查处，感谢您对环保工作的支持。      ,@菏泽环境,@菏泽环境,@绿行齐鲁,@蔚蓝地图
天津环保发布,#工作动态#交叉互查第十七组对玖龙纸业有限公司进行检查，该单位已于昨天下午接到区环保局重污染天气黄色预警通知并启动应急响应。现场检查时，该单位一台50万吨生产线已停用，减产约30%。两台300吨燃煤发电锅炉正在使用，配套脱硫除尘设施及在线监测设备在外运行，该单位建有全封闭煤场一座。该单位已达到燃气排放标准。#清新空气我们在行动#,0,0,1,2017-01-16 15:07:03,https://weibo.cn/comment/Er5xkAkPt?uid=3250739191&rl=1#cmtfrm,玖龙纸业（天津）,,,
陕西环保,全市1047个建设工地全部停工】#治污减霾#西安市仍处于Ⅰ级应急响应状态，全市除地铁、消防等紧急工程外的1047个建设工地全部停工。户县国维淀粉、蓝田尧柏水泥、西飞公司执行了减排50%措施，8家水泥粉磨企业落实了停产措施，西安热电公司、市热力总公司等9家企业，共12家单位，在保证供热质量的前提下，落实了50%减排措施；市环保局督导全市28家39台20蒸吨（不含）以下工业燃煤锅炉使用单位停止运行，48家168台20蒸吨以上燃煤锅炉全部按照要求燃用优质煤。,3,56,0,2017-01-04 15:43:57,https://weibo.cn/comment/EpecAmrWv?rl=1#cmtfrm,西安蓝田尧柏水泥,1,西安发布,转发理由:西安市目前仍处于Ⅰ级应急响应状态，除地铁、消防等紧急工程外的1047个建设工地全部停工。户县国维淀粉、蓝田尧柏水泥、西飞公司执行了减排50%措施，8家水泥粉磨企业落实了停产措施，西安热电公司等9家企业，共12家供热单位，在保证供热质量的前提下，落实了50%减排措施……      
西安发布,【全市1047个建设工地全部停工】#治污减霾#西安市仍处于Ⅰ级应急响应状态，全市除地铁、消防等紧急工程外的1047个建设工地全部停工。户县国维淀粉、蓝田尧柏水泥、西飞公司执行了减排50%措施，8家水泥粉磨企业落实了停产措施，西安热电公司、市热力总公司等9家企业，共12家单位，在保证供热质量的前提下，落实了50%减排措施；市环保局督导全市28家39台20蒸吨（不含）以下工业燃煤锅炉使用单位停止运行，48家168台20蒸吨以上燃煤锅炉全部按照要求燃用优质煤。,30,56,69,2017-01-04 09:30:03,https://weibo.cn/comment/EpecAmrWv?uid=3757167087&rl=1#cmtfrm,西安蓝田尧柏水泥,,,
秦皇岛发布,【秦皇岛加快新能源建设 利用荒山建设发电站】近年来，秦皇岛市加快发展光伏发电，利用荒山建设电站，并开发建设“林光互补”等项目。据国网秦皇岛供电公司介绍，目前全市荒山光伏发电并网装机容量已达80兆瓦。（ 新华社记者 杨世尧 摄） ​,5,1,2,2017-01-05 09:41:09,https://weibo.cn/comment/EpnHB42bl?uid=2417356033&rl=1#cmtfrm,秦皇岛发电,,,
费县环境,“记者日前从山东省物价部门获悉，华能山东发电有限公司下属的17家电厂，临沂发电有限公司、烟台发电有限公司、聊城热电有限公司、德州电厂、莱芜热电、莱城发电厂、众泰发电有限公司、黄台发电有限公司、沾化电厂、辛店电厂、日照电厂、济宁电厂、白杨河发电有限公司、济宁高新区热电有限公司、济宁运河发电有限公司、嘉祥发电有限公司、威海发电有限责任公司因环保电价问题违规，合计被物价部门罚款795万多元。”,4,3,3,2017-01-13 22:34:10,https://weibo.cn/comment/EqGbkprUW?uid=3803805722&rl=1#cmtfrm,华能烟台发电,,,
烟台环境,"#烟台环保工作动态# 今天上午,“排污许可制度及环保管家技术研讨会”在华能烟台发电有限公司召开，邀请环保部排污许可办公室主任王焕松、环保部环境规划研究院研究员宋晓晖、中国环评协会理事訾晓峰，烟台市环保系统有关负责人、发电厂、造纸厂等企业120多人参加会议。 ​",2,0,4,2017-01-13 20:30:40,https://weibo.cn/comment/EqFncnn6l?uid=3559965083&rl=1#cmtfrm,华能烟台发电,,,
天津环保发布,#工作动态#环境监察总队对北辰区天津市天重江天重工有限公司进行检查。现场检查时，该单位正在生产，配备的除尘脱硫设施正在运行。该单位建有四座料场，三座封闭，另一个半封闭料场采取苫盖喷淋等措施。市监测中心工作人员对烧结机排出口气体进行取样监测。#清新空气我们在行动# ​,0,0,0,2017-01-16 14:51:03,https://weibo.cn/comment/Er5qQ6oqi?uid=3250739191&rl=1#cmtfrm,天津市天重江天重工,,,
